host,target
418055,1400225
418055,3912238
1079046,1079185
1079046,3912238
1079185,1079383
1079383,1079581
1079581,1107478
1107478,1107568
1107568,1107658
1395425,1400225
1395425,4024046
418636,3912252
418636,4023157
1079049,1079188
1079049,3912252
1079188,1079386
1079386,1079584
1079584,1107481
1107481,1107571
1107571,1107661
4023157,4058432
418648,1400224
418648,3912254
1079057,1079196
1079057,3912254
1079196,1079394
1079394,1079592
1079592,1107489
1107489,1107579
1107579,1107669
1400224,1395453
483293,1400227
483293,3911870
1079086,1079225
1079086,3911870
1079225,1079423
1079423,1079621
1079621,1107518
1107518,1107608
1107608,1107698
1395439,1400227
1395439,4023357
1002781,3913234
1002781,4120311
1079250,1079448
1079250,4120320
1079448,1079646
1079646,1107543
1107543,1107633
1107633,4120335
3913234,4120320
1395447,4120198
1395447,4120311
1395453,4024043
4023357,4024604
4023361,4024607
4023361,4058432
4024043,4024601
4024046,4024597
4119994,4120198
