id,xmax,ymax,zmax,xmin,ymin,zmin,length,height,width,area,space,wall,door,window
418055,-3.781,1.7791,2.7615,-4.8433,0.9344,1.841,0.0,0.0,0.0,0,0,0,0,0
418636,0.2097,0.8582,2.7615,-0.8526,0.0124,1.841,0.0,0.0,0.0,0,0,0,0,0
418648,-3.781,0.8582,2.7615,-4.8433,0.0124,1.841,0.0,0.0,0.0,0,0,0,0,0
483293,0.2097,1.7791,2.7615,-0.8526,0.9344,1.841,0.0,0.0,0.0,0,0,0,0,0
1002781,-0.5084000000000001,-1.0699,2.7615,-1.3618000000000001,-2.1974,1.841,0.0,0.0,0.0,0,0,0,0,0
1079046,-3.781,1.7791,4.6025,-4.8433,0.9344,3.682,0.0,0.0,0.0,0,0,0,0,0
1079049,0.2097,0.8582,4.6025,-0.8526,0.0124,3.682,0.0,0.0,0.0,0,0,0,0,0
1079057,-3.781,0.8582,4.6025,-4.8433,0.0124,3.682,0.0,0.0,0.0,0,0,0,0,0
1079086,0.2097,1.7791,4.6025,-0.8526,0.9344,3.682,0.0,0.0,0.0,0,0,0,0,0
1079185,-3.781,1.7791,5.523,-4.8433,0.9344,4.6025,0.0,0.0,0.0,0,0,0,0,0
1079188,0.2097,0.8582,5.523,-0.8526,0.0124,4.6025,0.0,0.0,0.0,0,0,0,0,0
1079196,-3.781,0.8582,5.523,-4.8433,0.0124,4.6025,0.0,0.0,0.0,0,0,0,0,0
1079225,0.2097,1.7791,5.523,-0.8526,0.9344,4.6025,0.0,0.0,0.0,0,0,0,0,0
1079250,-0.5084000000000001,-1.0699,5.523,-1.3618000000000001,-2.1974,4.6025,0.0,0.0,0.0,0,0,0,0,0
1079383,-3.781,1.7791,6.4435,-4.8433,0.9344,5.523,0.0,0.0,0.0,0,0,0,0,0
1079386,0.2097,0.8582,6.4435,-0.8526,0.0124,5.523,0.0,0.0,0.0,0,0,0,0,0
1079394,-3.781,0.8582,6.4435,-4.8433,0.0124,5.523,0.0,0.0,0.0,0,0,0,0,0
1079423,0.2097,1.7791,6.4435,-0.8526,0.9344,5.523,0.0,0.0,0.0,0,0,0,0,0
1079448,-0.5084000000000001,-1.0699,6.4435,-1.3618000000000001,-2.1974,5.523,0.0,0.0,0.0,0,0,0,0,0
1079581,-3.781,1.7791,7.364,-4.8433,0.9344,6.4435,0.0,0.0,0.0,0,0,0,0,0
1079584,0.2097,0.8582,7.364,-0.8526,0.0124,6.4435,0.0,0.0,0.0,0,0,0,0,0
1079592,-3.781,0.8582,7.364,-4.8433,0.0124,6.4435,0.0,0.0,0.0,0,0,0,0,0
1079621,0.2097,1.7791,7.364,-0.8526,0.9344,6.4435,0.0,0.0,0.0,0,0,0,0,0
1079646,-0.5084000000000001,-1.0699,7.364,-1.3618000000000001,-2.1974,6.4435,0.0,0.0,0.0,0,0,0,0,0
1107478,-3.781,1.7791,8.284500000000001,-4.8433,0.9344,7.364,0.0,0.0,0.0,0,0,0,0,0
1107481,0.2097,0.8582,8.284500000000001,-0.8526,0.0124,7.364,0.0,0.0,0.0,0,0,0,0,0
1107489,-3.781,0.8582,8.284500000000001,-4.8433,0.0124,7.364,0.0,0.0,0.0,0,0,0,0,0
1107518,0.2097,1.7791,8.284500000000001,-0.8526,0.9344,7.364,0.0,0.0,0.0,0,0,0,0,0
