id,length,level,mark,unconnected_height,classification
219774,142.45957452691954,,,302.0000000000001,wall
332810,197.512116942932,,,302.0000000000001,wall
332811,543.2450686963041,,,302.0000000000001,wall
332812,354.9999999742595,,,302.0000000000001,wall
332813,80.12311179272771,,,302.0000000000001,wall
332814,632.7535614780691,,,302.0000000000001,wall
332815,693.3536814218551,,,302.00000000001404,wall
332818,127.94808553058976,,,302.0000000000001,wall
332820,330.0000000000012,,,303.0497790844987,wall
341129,170.51211694293227,,,302.0,wall
341130,372.9306518638372,,,302.0,wall
341131,342.49999999997726,,,302.0,wall
341132,80.1231117927276,,,302.0,wall
341133,224.00000000000003,,,302.0,wall
341134,708.2044020199796,,,302.0,wall
341135,90.49999999999719,,,302.0,wall
341136,129.4878830570791,,,302.0,wall
341137,378.53053064699026,,,302.0,wall
341138,300.00000000001364,,,302.0,wall
341139,607.9999999999999,,,302.0,wall
341140,117.11711575285338,,,266.99999999999994,wall
341141,357.4985203799722,,,302.0,wall
341142,329.99999999997715,,,267.0000000000019,wall
341143,77.50000000000014,,,302.0,wall
341145,239.99999999998963,,,267.0000000000331,wall
341152,101.62343652360519,,,302.0,wall
341290,325.2693751133251,,,302.00000000003325,wall
341291,759.0675840333577,,,302.0,wall
341292,325.2693751133248,,,302.0000000000013,wall
341293,289.7306248866809,,,302.0,wall
341298,60.00000000000217,,,302.0,wall
341299,484.06758403335743,,,302.0,wall
341300,60.00000000000217,,,302.0,wall
341301,484.0675840333574,,,302.0,wall
341302,69.99095675501445,,,302.0,wall
341303,669.0058841253448,,,302.0,wall
341304,67.4909567550155,,,302.0,wall
341305,67.49095675501496,,,302.0,wall
341306,67.49095675501448,,,302.0,wall
341307,247.76937511331974,,,302.0,wall
341308,247.50000000000057,,,302.0,wall
341313,45.00000000000006,,,302.0,wall
375041,197.5121169429319,,,337.0,wall
375042,543.2501025727043,,,332.0,wall
375043,354.9744395315891,,,302.0,wall
375044,80.12814566912793,,,302.0,wall
375045,633.1004517918986,,,337.00000000000006,wall
375046,246.1893166980364,,,302.0,wall
375049,139.6938034094274,,,332.0,wall
375050,300.3191240789154,,,337.00000000000006,wall
375168,300.06758403335493,,,337.0,wall
375525,325.2693751133213,,,337.0,wall
375526,754.067584033358,,,302.0,wall
